City_ID,City,Country,Datetime,Lat,Lng,Temperature,Humidity,Cloud Coverage,Wind Speed
65,prince george,MX,2020-04-15 04:32:48,18.7,-95.5,79.12,87.0,60.0,9.01
66,kodiak,US,2020-04-15 04:21:07,36.85,-75.98,54.0,76.0,90.0,4.7
67,bredasdorp,US,2020-04-15 04:32:48,41.17,-81.2,36.0,50.0,1.0,6.93
68,tiksi,RU,2020-04-15 04:32:49,65.99,57.53,31.32,99.0,91.0,6.17
69,ribeira grande,AR,2020-04-15 04:32:49,-42.77,-65.04,58.35,68.0,97.0,19.73
70,carnarvon,PF,2020-04-15 04:32:49,-9.8,-139.03,82.53,67.0,32.0,4.97
71,sosua,CA,2020-04-15 04:32:49,69.45,-133.04,21.2,92.0,75.0,9.17
72,sept-iles,BR,2020-04-15 04:23:00,-30.18,-50.21,61.21,73.0,42.0,20.65
73,mundo nuevo,CF,2020-04-15 04:32:49,4.99,19.96,78.94,69.0,7.0,3.42
74,virginia beach,CA,2020-04-15 04:28:08,55.74,-97.86,6.8,55.0,5.0,3.36
75,portage,GH,2020-04-15 04:32:50,4.88,-1.76,80.67,85.0,53.0,5.03
76,usinsk,ID,2020-04-15 04:32:50,-6.88,112.21,87.53,65.0,13.0,5.06
77,puerto madryn,NZ,2020-04-15 04:32:50,-46.6,168.33,48.99,92.0,100.0,5.99
78,atuona,RU,2020-04-15 04:29:05,69.38,178.42,15.1,93.0,100.0,3.65
79,tuktoyaktuk,UZ,2020-04-15 04:32:50,40.43,71.72,51.8,87.0,75.0,6.93
80,cidreira,AU,2020-04-15 04:32:51,-33.65,115.33,73.0,34.0,36.0,14.97
81,kouango,AO,2020-04-15 04:32:51,-8.19,15.38,66.33,69.0,97.0,2.1
82,thompson,US,2020-04-15 04:32:51,71.29,-156.79,10.4,92.0,90.0,17.22
83,takoradi,GL,2020-04-15 04:32:51,77.48,-69.36,11.43,92.0,100.0,2.8
84,labuhan,RU,2020-04-15 04:32:51,59.7,30.79,35.01,82.0,90.0,4.47
85,bluff,CN,2020-04-15 04:32:51,24.19,102.82,79.83,14.0,0.0,13.27
86,leningradskiy,GL,2020-04-15 04:32:51,64.18,-51.72,28.4,63.0,97.0,14.99
87,komsomolskiy,MZ,2020-04-15 04:32:52,-23.86,35.38,78.8,88.0,40.0,8.05
88,busselton,AU,2020-04-15 04:32:52,-42.78,147.06,61.0,93.0,90.0,8.05
89,camabatela,RU,2020-04-15 04:32:52,71.92,114.08,1.27,91.0,99.0,10.56
90,barrow,BR,2020-04-15 04:32:52,-15.86,-38.88,73.4,94.0,40.0,5.82
91,qaanaaq,US,2020-04-15 04:30:18,37.1,-113.58,55.99,24.0,1.0,4.7
92,nikolskoye,DZ,2020-04-15 04:30:05,36.75,3.04,57.2,93.0,20.0,6.93
93,xingyi,US,2020-04-15 04:31:58,41.14,-73.36,50.0,61.0,20.0,4.7
94,nuuk,CV,2020-04-15 04:32:53,14.9,-24.5,71.53,77.0,89.0,12.68
95,mahadday weyne,AF,2020-04-15 04:32:53,34.49,69.27,57.2,82.0,20.0,1.12
96,inhambane,BR,2020-04-15 04:30:44,-5.79,-35.21,78.8,94.0,75.0,2.24
97,new norfolk,RU,2020-04-15 04:32:53,69.49,88.4,1.4,77.0,1.0,13.42
98,saskylakh,NA,2020-04-15 04:32:54,-22.96,14.51,55.99,100.0,0.0,4.7
99,belmonte,AU,2020-04-15 04:32:54,-15.77,128.73,96.8,23.0,32.0,5.82
100,amderma,US,2020-04-15 04:28:07,45.52,-122.68,55.99,62.0,20.0,8.05
101,saint george,GB,2020-04-15 04:32:54,53.39,-2.58,41.0,93.0,84.0,1.12
102,algiers,AU,2020-04-15 04:32:54,-13.85,136.42,89.6,59.0,75.0,8.05
103,westport,NZ,2020-04-15 04:32:55,-46.13,167.68,48.99,92.0,100.0,5.99
104,sao filipe,EG,2020-04-15 04:32:55,31.35,27.25,59.0,51.0,98.0,13.87
105,bagrami,IN,2020-04-15 04:31:19,19.08,74.73,100.18,10.0,0.0,15.5
106,natal,NG,2020-04-15 04:32:55,7.38,8.57,79.86,77.0,43.0,7.29
107,nguiu,RU,2020-04-15 04:32:55,56.95,90.67,58.6,53.0,86.0,1.21
108,talnakh,ZA,2020-04-15 04:32:56,-31.47,19.78,53.11,42.0,79.0,3.89
109,walvis bay,MX,2020-04-15 04:32:56,20.87,-90.4,78.53,86.0,35.0,8.61
110,shchelyayur,ZA,2020-04-15 04:32:56,-29.66,22.75,56.44,48.0,8.0,7.31
111,kununurra,PE,2020-04-15 04:32:56,-10.07,-78.15,73.51,75.0,4.0,5.86
112,portland,AO,2020-04-15 04:32:56,-15.2,12.15,74.53,70.0,31.0,3.51
113,warrington,MX,2020-04-15 04:32:56,27.98,-114.06,62.06,79.0,60.0,13.35
114,bargal,US,2020-04-15 04:32:57,38.42,-121.42,68.0,41.0,1.0,2.55
115,alyangula,IN,2020-04-15 04:23:19,10.57,72.64,87.8,66.0,20.0,4.07
116,tuatapere,BR,2020-04-15 04:32:57,-14.45,-56.85,72.57,89.0,99.0,5.7
117,marsa matruh,NZ,2020-04-15 04:32:57,-46.28,169.85,51.01,72.0,100.0,4.0
118,kamenskoye,MX,2020-04-15 04:32:57,17.96,-102.2,71.19,83.0,98.0,2.91
119,barentsburg,UY,2020-04-15 04:32:58,-33.7,-53.46,59.36,87.0,100.0,26.87
120,ahmadnagar,CA,2020-04-15 04:32:58,70.47,-68.59,-5.8,83.0,1.0,3.36
121,sedelnikovo,CN,2020-04-15 04:32:58,37.73,115.7,81.73,27.0,43.0,14.72
122,yaan,NO,2020-04-15 04:32:58,68.38,17.6,35.01,100.0,98.0,14.99
123,novobirilyussy,AU,2020-04-15 04:32:58,-31.95,141.43,84.2,25.0,30.0,17.22
124,calvinia,BR,2020-04-15 04:32:58,-23.91,-52.34,57.99,85.0,0.0,1.99
125,celestun,CA,2020-04-15 04:23:17,50.1,-91.92,19.4,57.0,75.0,3.36
126,prieska,CL,2020-04-15 04:32:59,-35.33,-72.42,53.73,59.0,55.0,2.15
127,huarmey,AU,2020-04-15 04:28:19,-31.43,152.92,84.99,57.0,0.0,9.8
128,namibe,US,2020-04-15 04:32:59,39.76,-105.22,39.99,32.0,40.0,5.82
129,guerrero negro,RU,2020-04-15 04:32:59,50.68,156.12,31.82,93.0,100.0,12.01
130,laguna,AU,2020-04-15 04:33:00,-32.5,137.77,87.8,13.0,93.0,23.04
131,kavaratti,PE,2020-04-15 04:33:00,-5.23,-75.68,75.65,78.0,23.0,1.5
132,arenapolis,BR,2020-04-15 04:33:00,-7.47,-34.81,77.0,94.0,20.0,2.24
133,kaitangata,PF,2020-04-15 04:23:20,-22.43,-151.33,77.29,65.0,25.0,11.43
134,lazaro cardenas,CV,2020-04-15 04:33:01,14.92,-23.51,69.8,77.0,82.0,13.87
135,nizhneyansk,SJ,2020-04-15 04:33:01,78.22,15.64,33.8,64.0,75.0,25.28
136,chuy,MU,2020-04-15 04:33:01,-20.41,57.7,79.0,78.0,75.0,14.99
137,clyde river,BR,2020-04-15 04:33:01,-21.64,-41.05,74.01,85.0,53.0,12.64
138,hengshui,ML,2020-04-15 04:33:01,18.9,-3.53,76.95,45.0,100.0,17.72
139,beisfjord,CN,2020-04-15 04:33:02,27.73,112.53,79.03,48.0,0.0,8.37
